round,accuracy,latency,energy
1,0.27006182361143677,1416.6919999999998,3.54173
2,0.31607784098621616,1164.1108,2.910277
3,0.3627355405555487,1040.324,2.60081
4,0.4140577760775942,1005.1856000000001,2.512964
5,0.4621592605846712,989.828,2.47457
6,0.5089280205338302,994.6124,2.486531
7,0.5529449510717327,997.4624000000001,2.493656
8,0.5908042005503659,1000.0928,2.500232
9,0.6246776163974481,1001.7856,2.504464
10,0.6521959105100139,992.7512,2.481878
11,0.6754322099781581,1025.2232,2.563058
12,0.6966200624406136,975.7916,2.439479
13,0.7140812221577798,972.1296,2.430324
14,0.7275071880745833,1036.872,2.59218
15,0.7415871762281427,1038.0948,2.595237
16,0.7515826104125276,996.9583999999999,2.492396
17,0.7637869121512395,1011.9484000000001,2.529871
18,0.7715611387390945,1011.7732,2.529433
19,0.77942174562237,1040.8104,2.602026
20,0.7845428631365919,979.5540000000001,2.448885
21,0.7917494477831114,1052.5772,2.631443
22,0.7961301627651567,968.6272,2.421568
23,0.7987462517121808,1011.6372,2.529093
24,0.8025593247528906,994.0552,2.485138
25,0.8061996372027592,995.8904000000001,2.489726
26,0.808248084208448,1005.2552000000002,2.513138
27,0.8107160926490369,985.1368,2.462842
28,0.8115181953922282,1011.9504,2.529876
29,0.8136900428199464,1089.7140000000002,2.724285
30,0.8143317250144996,1090.1232,2.725308
